,reward,difficulty,duration,mobile,social,web,bogo,discount,informational,age,income,F,M,O,days_since_member
20763,10,10,7,1,1,0,1,0,0,78,64000.0,0,1,0,407
35564,5,20,10,0,0,1,0,1,0,47,80000.0,1,0,0,1274
21422,2,10,7,1,0,1,0,1,0,77,83000.0,1,0,0,1569
44277,0,0,4,1,0,1,0,0,1,52,88000.0,0,1,0,1575
33385,2,10,10,1,1,1,0,1,0,63,70000.0,1,0,0,1354
8325,2,10,10,1,1,1,0,1,0,21,36000.0,1,0,0,543
41087,2,10,10,1,1,1,0,1,0,76,114000.0,1,0,0,738
7487,0,0,4,1,0,1,0,0,1,74,39000.0,0,1,0,1759
9285,0,0,3,1,1,0,0,0,1,91,40000.0,1,0,0,1566
39364,2,10,10,1,1,1,0,1,0,41,94000.0,1,0,0,770
25741,3,7,7,1,1,1,0,1,0,21,58000.0,0,1,0,1669
8290,0,0,4,1,0,1,0,0,1,44,64000.0,1,0,0,983
39834,2,10,10,1,1,1,0,1,0,83,63000.0,0,1,0,830
38864,5,5,5,1,1,1,1,0,0,20,41000.0,0,1,0,1347
1974,3,7,7,1,1,1,0,1,0,34,44000.0,1,0,0,1815
39289,5,5,7,1,0,1,1,0,0,49,50000.0,0,1,0,1020
28938,10,10,7,1,1,0,1,0,0,48,94000.0,1,0,0,1384
521,10,10,5,1,1,1,1,0,0,62,55000.0,1,0,0,1727
44164,10,10,7,1,1,0,1,0,0,23,47000.0,0,1,0,1534
32744,10,10,5,1,1,1,1,0,0,54,102000.0,1,0,0,1366
12149,0,0,3,1,1,0,0,0,1,50,98000.0,0,1,0,1079
4150,5,5,5,1,1,1,1,0,0,28,62000.0,1,0,0,1258
24429,10,10,5,1,1,1,1,0,0,37,48000.0,0,1,0,1540
5238,5,5,5,1,1,1,1,0,0,20,62000.0,0,1,0,895
41604,3,7,7,1,1,1,0,1,0,74,91000.0,1,0,0,899
2333,0,0,3,1,1,0,0,0,1,43,37000.0,0,1,0,829
8819,5,5,5,1,1,1,1,0,0,45,72000.0,1,0,0,1662
27589,10,10,5,1,1,1,1,0,0,58,49000.0,0,1,0,943
31951,2,10,10,1,1,1,0,1,0,52,86000.0,1,0,0,995
13920,2,10,7,1,0,1,0,1,0,55,53000.0,1,0,0,1465
16331,10,10,7,1,1,0,1,0,0,57,36000.0,0,1,0,333
41225,3,7,7,1,1,1,0,1,0,50,68000.0,0,1,0,1802
30477,2,10,7,1,0,1,0,1,0,53,71000.0,0,1,0,1733
2542,2,10,10,1,1,1,0,1,0,48,40000.0,0,1,0,1577
1158,0,0,4,1,0,1,0,0,1,18,34000.0,0,1,0,1636
24751,2,10,10,1,1,1,0,1,0,48,59000.0,1,0,0,1243
13895,5,5,5,1,1,1,1,0,0,49,54000.0,1,0,0,1612
30724,0,0,3,1,1,0,0,0,1,37,83000.0,1,0,0,1423
9921,5,5,7,1,0,1,1,0,0,57,64000.0,1,0,0,1782
22265,3,7,7,1,1,1,0,1,0,37,54000.0,1,0,0,1806
12602,0,0,3,1,1,0,0,0,1,86,70000.0,1,0,0,1560
40631,3,7,7,1,1,1,0,1,0,68,42000.0,0,1,0,1472
11167,5,20,10,0,0,1,0,1,0,58,78000.0,1,0,0,1134
41556,5,5,5,1,1,1,1,0,0,79,53000.0,0,1,0,1146
44506,0,0,4,1,0,1,0,0,1,62,80000.0,0,1,0,1645
36572,5,5,7,1,0,1,1,0,0,51,63000.0,0,1,0,1106
30173,0,0,3,1,1,0,0,0,1,87,86000.0,1,0,0,761
26416,10,10,5,1,1,1,1,0,0,78,113000.0,1,0,0,1169
3045,2,10,7,1,0,1,0,1,0,40,64000.0,0,1,0,1310
20125,10,10,5,1,1,1,1,0,0,37,66000.0,0,1,0,306
35819,2,10,10,1,1,1,0,1,0,74,84000.0,0,1,0,1751
37024,5,5,5,1,1,1,1,0,0,42,62000.0,1,0,0,1357
36650,5,5,5,1,1,1,1,0,0,59,55000.0,1,0,0,1537
44258,10,10,5,1,1,1,1,0,0,81,108000.0,1,0,0,1638
4723,0,0,3,1,1,0,0,0,1,46,48000.0,0,1,0,1712
