,Y
20763,0
35564,0
21422,1
44277,0
33385,1
8325,1
41087,1
7487,0
9285,0
39364,0
25741,0
8290,0
39834,1
38864,1
1974,1
39289,0
28938,1
521,0
44164,0
32744,1
12149,1
4150,1
24429,0
5238,0
41604,0
2333,1
8819,1
27589,1
31951,0
13920,1
16331,1
41225,0
30477,0
2542,1
1158,1
24751,1
13895,1
30724,0
9921,0
22265,1
12602,1
40631,0
11167,1
41556,1
44506,0
36572,0
30173,0
26416,0
3045,0
20125,1
35819,0
37024,1
36650,0
44258,0
4723,1
30939,1
42652,0
15040,1
11101,0
8538,0
11283,1
36976,1
621,0
2024,1
39137,0
32832,0
25997,1
41169,1
36013,0
17016,0
22163,1
22901,1
29669,0
28407,1
19222,1
26227,0
16048,1
22956,1
6573,0
17680,0
19338,0
649,1
12786,1
25205,1
22880,1
4243,1
2890,1
8882,1
44601,0
35102,1
36992,0
40078,0
18845,0
10824,0
25938,0
31805,0
22731,1
17417,1
30927,1
39765,1
6024,1
37273,0
30106,1
131,1
34675,1
16353,0
35022,1
22285,0
22109,0
12802,0
19819,0
19844,1
4251,1
32949,0
38768,0
13213,1
6516,1
25304,1
34507,0
10736,1
6829,1
16311,1
18327,1
25789,1
1216,0
36235,1
16747,0
36589,1
19216,1
9780,0
23164,0
3732,1
15610,0
24576,1
28824,1
30953,0
18837,1
33908,1
38025,1
17837,1
5123,0
28883,1
21617,0
37325,1
23076,1
12758,1
3257,0
1829,0
18231,0
3726,1
37190,0
22849,1
37356,0
16584,1
5569,1
32722,1
15789,0
7021,0
15114,0
37986,0
9033,1
6384,1
22338,1
32778,0
20407,0
44188,0
13829,0
25973,1
21706,1
15805,0
6276,1
8612,1
818,1
28232,0
30506,1
24052,0
19858,0
34581,1
39264,0
21229,1
32479,0
34171,0
23664,0
3609,1
6966,1
25369,1
16524,0
21451,0
15643,1
4681,1
8659,1
14968,0
15978,1
14183,1
21481,0
29867,0
19950,0
17652,1
5597,0
4752,1
32401,0
7658,1
25805,0
35490,1
20451,0
33310,1
42146,0
41095,1
8931,1
31623,0
22365,0
43155,0
2310,0
38139,0
18201,0
37227,0
8982,0
23724,1
27157,0
17700,1
12480,0
4610,1
42578,0
27943,1
23246,1
6064,1
32167,1
41680,1
28890,1
2259,0
23635,1
42102,0
983,0
29146,1
20128,0
28252,0
35565,1
18208,1
31744,0
5986,1
560,1
35055,0
24940,1
38579,1
31925,0
17865,0
11995,1
38261,1
36105,1
17796,1
41394,1
30613,1
9114,0
15057,0
30511,0
40641,1
19938,0
22353,1
4580,1
42629,0
7651,0
31072,0
5994,1
27330,1
7976,0
43015,0
30619,0
35892,1
18548,1
5649,1
14486,0
12764,1
22654,1
41023,1
2566,1
9584,0
13789,0
