,reward,difficulty,duration,mobile,social,web,bogo,discount,informational,age,income,F,M,O,days_since_member,Y
0,10,10,7,1,1,0,1,0,0,59,55000.0,1,0,0,323,0
1,0,0,3,1,1,0,0,0,1,59,55000.0,1,0,0,323,1
2,10,10,5,1,1,1,1,0,0,74,85000.0,1,0,0,1576,1
3,0,0,4,1,0,1,0,0,1,74,85000.0,1,0,0,1576,0
4,5,20,10,0,0,1,0,1,0,74,85000.0,1,0,0,1576,0
5,3,7,7,1,1,1,0,1,0,74,85000.0,1,0,0,1576,1
6,0,0,3,1,1,0,0,0,1,48,60000.0,0,1,0,1718,0
7,10,10,7,1,1,0,1,0,0,53,58000.0,0,1,0,985,1
8,3,7,7,1,1,1,0,1,0,53,58000.0,0,1,0,985,1
9,2,10,10,1,1,1,0,1,0,53,58000.0,0,1,0,985,1
10,0,0,3,1,1,0,0,0,1,53,58000.0,0,1,0,985,1
11,0,0,4,1,0,1,0,0,1,55,75000.0,1,0,0,1638,1
12,0,0,3,1,1,0,0,0,1,55,75000.0,1,0,0,1638,0
13,5,20,10,0,0,1,0,1,0,58,34000.0,0,1,0,1743,0
14,2,10,10,1,1,1,0,1,0,58,34000.0,0,1,0,1743,1
15,2,10,7,1,0,1,0,1,0,58,34000.0,0,1,0,1743,0
16,10,10,7,1,1,0,1,0,0,60,63000.0,0,1,0,1459,1
17,10,10,5,1,1,1,1,0,0,60,63000.0,0,1,0,1459,0
18,5,20,10,0,0,1,0,1,0,60,63000.0,0,1,0,1459,0
19,10,10,7,1,1,0,1,0,0,48,36000.0,0,1,0,1539,1
20,0,0,4,1,0,1,0,0,1,48,36000.0,0,1,0,1539,0
21,2,10,10,1,1,1,0,1,0,48,36000.0,0,1,0,1539,1
22,0,0,3,1,1,0,0,0,1,48,36000.0,0,1,0,1539,0
23,10,10,7,1,1,0,1,0,0,58,55000.0,0,0,1,1693,0
24,0,0,4,1,0,1,0,0,1,58,55000.0,0,0,1,1693,0
25,5,20,10,0,0,1,0,1,0,58,55000.0,0,0,1,1693,0
26,2,10,7,1,0,1,0,1,0,58,55000.0,0,0,1,1693,0
27,10,10,7,1,1,0,1,0,0,58,75000.0,1,0,0,1150,0
28,10,10,5,1,1,1,1,0,0,61,90000.0,1,0,0,1488,0
29,3,7,7,1,1,1,0,1,0,61,90000.0,1,0,0,1488,1
30,0,0,3,1,1,0,0,0,1,61,90000.0,1,0,0,1488,1
31,0,0,4,1,0,1,0,0,1,63,103000.0,1,0,0,1047,0
32,2,10,10,1,1,1,0,1,0,63,103000.0,1,0,0,1047,0
33,10,10,7,1,1,0,1,0,0,82,65000.0,1,0,0,1308,1
34,0,0,3,1,1,0,0,0,1,82,65000.0,1,0,0,1308,0
35,5,5,5,1,1,1,1,0,0,82,65000.0,1,0,0,1308,1
36,5,5,7,1,0,1,1,0,0,38,75000.0,0,1,0,1780,0
37,3,7,7,1,1,1,0,1,0,38,75000.0,0,1,0,1780,1
38,2,10,10,1,1,1,0,1,0,38,75000.0,0,1,0,1780,0
39,5,20,10,0,0,1,0,1,0,59,98000.0,0,1,0,1008,0
40,3,7,7,1,1,1,0,1,0,59,98000.0,0,1,0,1008,1
41,0,0,3,1,1,0,0,0,1,59,98000.0,0,1,0,1008,0
42,10,10,7,1,1,0,1,0,0,20,43000.0,1,0,0,1497,0
43,10,10,5,1,1,1,1,0,0,20,43000.0,1,0,0,1497,0
44,0,0,4,1,0,1,0,0,1,20,43000.0,1,0,0,1497,0
45,3,7,7,1,1,1,0,1,0,20,43000.0,1,0,0,1497,1
46,5,5,5,1,1,1,1,0,0,20,43000.0,1,0,0,1497,0
47,10,10,7,1,1,0,1,0,0,60,88000.0,1,0,0,1234,0
48,2,10,7,1,0,1,0,1,0,60,88000.0,1,0,0,1234,1
49,10,10,7,1,1,0,1,0,0,61,45000.0,0,1,0,1574,0
50,5,5,7,1,0,1,1,0,0,22,57000.0,1,0,0,1493,0
51,0,0,3,1,1,0,0,0,1,22,57000.0,1,0,0,1493,1
52,5,5,7,1,0,1,1,0,0,72,56000.0,0,1,0,1046,0
53,0,0,3,1,1,0,0,0,1,72,56000.0,0,1,0,1046,0
54,10,10,7,1,1,0,1,0,0,72,102000.0,0,1,0,1348,1
55,2,10,10,1,1,1,0,1,0,72,102000.0,0,1,0,1348,0
56,0,0,3,1,1,0,0,0,1,72,102000.0,0,1,0,1348,1
57,10,10,7,1,1,0,1,0,0,60,91000.0,0,1,0,968,1
58,10,10,5,1,1,1,1,0,0,60,91000.0,0,1,0,968,0
59,5,20,10,0,0,1,0,1,0,60,91000.0,0,1,0,968,0
60,0,0,3,1,1,0,0,0,1,60,91000.0,0,1,0,968,0
61,10,10,7,1,1,0,1,0,0,31,53000.0,1,0,0,1196,1
62,10,10,5,1,1,1,1,0,0,31,53000.0,1,0,0,1196,0
63,0,0,4,1,0,1,0,0,1,31,53000.0,1,0,0,1196,0
64,5,5,5,1,1,1,1,0,0,31,53000.0,1,0,0,1196,0
65,2,10,7,1,0,1,0,1,0,31,53000.0,1,0,0,1196,0
66,10,10,7,1,1,0,1,0,0,55,41000.0,0,1,0,1727,0
67,0,0,4,1,0,1,0,0,1,55,41000.0,0,1,0,1727,0
68,5,5,7,1,0,1,1,0,0,55,41000.0,0,1,0,1727,0
69,5,5,5,1,1,1,1,0,0,55,41000.0,0,1,0,1727,0
70,2,10,7,1,0,1,0,1,0,55,41000.0,0,1,0,1727,1
71,10,10,7,1,1,0,1,0,0,51,46000.0,0,1,0,1725,0
72,0,0,4,1,0,1,0,0,1,51,46000.0,0,1,0,1725,0
73,0,0,3,1,1,0,0,0,1,51,46000.0,0,1,0,1725,0
74,10,10,7,1,1,0,1,0,0,61,39000.0,0,1,0,1366,0
75,3,7,7,1,1,1,0,1,0,61,39000.0,0,1,0,1366,1
76,2,10,10,1,1,1,0,1,0,61,39000.0,0,1,0,1366,0
77,0,0,4,1,0,1,0,0,1,39,52000.0,0,1,0,1483,0
78,5,5,7,1,0,1,1,0,0,39,52000.0,0,1,0,1483,0
79,3,7,7,1,1,1,0,1,0,39,52000.0,0,1,0,1483,0
80,2,10,10,1,1,1,0,1,0,69,114000.0,1,0,0,1457,1
81,0,0,4,1,0,1,0,0,1,43,69000.0,0,1,0,1472,0
82,5,5,7,1,0,1,1,0,0,43,69000.0,0,1,0,1472,0
83,5,20,10,0,0,1,0,1,0,43,69000.0,0,1,0,1472,0
